ID,0 to 0.5 km,0.5 to 1 km,1 to 1.5 km,1.5 to 2 km,2 to 2.5 km,2.5 to 3 km,3 to 3.5 km,3.5 to 4 km,4 to 4.5 km,4.5 to 5 km,5 to 5.5 km,5.5 to 6 km,6 to 6.5 km,6.5 to 7 km,7 to 7.5 km,7.5 to 8 km,8 to 8.5 km,8.5 to 9 km,9 to 9.5 km,9.5 to 10 km,>10 km
383,8,61,62,80,53,75,40,36,29,21,18,9,8,2,5,3,1,5,2,3,11
321,14,55,69,84,58,47,40,42,25,21,11,8,14,9,6,4,2,2,2,2,13
571,4,50,85,86,53,50,31,39,23,18,8,11,13,7,12,5,3,3,2,1,8
53,10,40,70,75,69,57,42,25,22,19,15,12,8,6,6,6,2,1,0,1,15
501,7,36,76,93,80,51,39,29,26,18,10,12,1,3,7,2,1,0,2,1,7
570,12,50,73,73,63,54,41,31,22,19,15,10,11,0,5,4,3,1,0,1,8
187,13,50,85,71,62,50,28,36,23,12,18,10,7,7,6,2,1,2,3,1,7
491,12,46,77,68,61,59,36,28,23,18,14,12,7,5,2,7,2,3,3,0,9
194,12,45,80,76,50,49,33,26,30,23,10,7,9,10,5,1,1,3,4,2,15
225,21,44,61,66,73,42,47,31,26,11,10,15,10,3,4,4,6,2,2,0,12
564,7,42,78,80,68,50,34,24,24,17,14,5,12,7,7,4,3,0,2,3,8
184,9,57,66,72,66,51,30,26,22,20,13,12,11,5,4,3,2,4,2,3,10
478,4,47,63,71,69,44,35,33,33,17,12,12,12,4,5,5,4,1,1,0,16
255,15,63,76,71,61,35,28,37,21,25,12,8,8,5,4,5,2,1,1,1,4
189,8,44,64,84,49,48,34,35,21,21,19,7,7,10,6,4,2,0,1,5,13
795,7,40,72,86,75,41,41,24,18,12,16,11,6,4,8,3,1,0,1,2,12
163,15,45,63,72,70,43,29,27,28,13,16,11,8,8,8,4,3,0,1,2,10
598,3,49,71,61,63,54,33,33,28,9,17,8,11,4,7,4,4,3,1,2,10
633,11,47,75,65,48,47,41,29,19,19,16,7,10,6,3,6,3,1,2,1,18
88,10,33,64,77,64,57,35,28,30,26,9,10,7,6,3,2,3,0,2,3,4
244,13,40,53,79,84,44,34,25,31,15,12,6,8,4,7,6,2,1,1,0,8
682,7,37,72,68,68,51,33,32,28,21,6,9,13,9,3,1,4,0,1,0,9
38,5,47,84,67,51,41,31,24,31,17,16,10,16,10,5,2,2,1,0,1,10
141,7,33,71,65,63,49,38,30,24,19,16,17,11,4,4,5,2,0,2,2,9
629,7,41,64,82,66,49,32,38,23,13,16,10,7,4,4,2,1,0,1,1,10
705,12,45,70,65,58,40,31,31,23,17,18,13,11,9,6,5,1,0,3,2,9
300,4,57,60,70,59,46,39,35,20,13,16,16,5,7,2,4,1,0,2,2,10
909,8,50,69,73,59,44,31,31,26,17,17,8,8,11,5,0,1,1,1,2,6
